HTS code,Description
0101.21,Pure-bred breeding horses
0101.29,Live horses (excluding pure-bred for breeding)
0101.30,Live asses
0101.90,Live mules and hinnies
0102.21,Pure-bred cattle for breeding
0102.29,Live cattle (excluding pure-bred for breeding)
0102.31,Pure-bred buffalo for breeding
0102.39,Live buffalo (excluding pure-bred for breeding)
0102.90,Live bovine animals (excluding cattle and buffalo)
0103.10,Pure-bred breeding swine
0103.91,"Live swine, weighing < 50 kg (excluding pure-bred for breeding)"
0103.92,"Live swine, weighing >= 50 kg (excluding pure-bred for breeding)"
0104.10,Live sheep
0104.20,Live goats
0105.11,"Live fowls of the species Gallus domesticus, weighing <= 185 g (excluding turkeys and guinea fowls)"
0105.12,"Live domestic turkeys, weighing <= 185 g"
0105.13,"Live domestic ducks, weighing <= 185 g"
0105.14,"Live domestic geese, weighing <= 185 g"
0105.15,"Live domestic guinea fowls, weighing <= 185 g"
0105.94,"Live fowls of the species Gallus domesticus, weighing > 185"
0105.99,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g"
0106.11,Live primates
0106.12,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0106.13,Live camels and other camelids [Camelidae]
0106.14,Live rabbits and hares
0106.19,"Live mammals (excluding primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)"
0106.20,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards"""
0106.31,Live birds of prey
0106.32,"Live psittaciformes ""incl. parrots, parrakeets, macaws and cockatoos"""
0106.33,"Live ostriches, and emus [Dromaius novaehollandiae]"
0106.39,"Live birds (excluding birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches and emus)"
0106.41,Live bees
0106.49,Live insects (excluding bees)
0106.90,"Live animals (excluding mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other aquatic invertebrates and cultures of micro-organisms, etc.)"
0201.10,"Carcases or half-carcases of bovine animals, fresh or chilled"
0201.20,"Fresh or chilled bovine cuts, with bone in (excluding carcases and 1/2 carcases)"
0201.30,"Fresh or chilled bovine meat, boneless"
0202.10,Frozen bovine carcases and half-carcases
0202.20,"Frozen bovine cuts, with bone in (excluding carcases and half-carcases)"
0202.30,"Frozen, boneless meat of bovine animals"
0203.11,Fresh or chilled carcases and half-carcases of swine
0203.12,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in"
0203.19,"Fresh or chilled meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
0203.21,Frozen carcases and half-carcases of swine
0203.22,"Frozen hams, shoulders and cuts thereof of swine, with bone in"
0203.29,"Frozen meat of swine (excluding carcases and half-carcases, and hams, shoulders and cuts thereof, with bone in)"
0204.10,Fresh or chilled lamb carcases and half-carcases
0204.21,Fresh or chilled sheep carcases and half-carcases (excluding lambs)
0204.22,"Fresh or chilled cuts of sheep, with bone in (excluding carcases and half-carcases)"
0204.23,Fresh or chilled boneless cuts of sheep
0204.30,Frozen lamb carcases and half-carcases
0204.41,Frozen sheep carcases and half-carcases (excluding lambs)
0204.42,"Frozen cuts of sheep, with bone in (excluding carcases and half-carcases)"
0204.43,Frozen boneless cuts of sheep
0204.50,"Fresh, chilled or frozen meat of goats"
0205.00,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen"
0206.10,Fresh or chilled edible offal of bovine animals
0206.21,Frozen edible bovine tongues
0206.22,Frozen edible bovine livers
0206.29,Frozen edible bovine offal (excluding tongues and livers)
0206.30,Fresh or chilled edible offal of swine
0206.41,Frozen edible livers of swine
0206.49,"Edible offal of swine, frozen (excluding livers)"
0206.80,"Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies"
0206.90,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies"
0207.11,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces"
0207.12,"Frozen fowls of the species Gallus domesticus, not cut in pieces"
0207.13,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus
0207.14,Frozen cuts and edible offal of fowls of the species Gallus domesticus
0207.24,"Fresh or chilled turkeys of the species domesticus, not cut in pieces"
0207.25,"Frozen turkeys of the species domesticus, not cut into pieces"
0207.26,Fresh or chilled cuts and edible offal of turkeys of the species domesticus
0207.27,Frozen cuts and edible offal of turkeys of the species domesticus
0207.41,"Fresh or chilled domestic ducks, not cut in pieces"
0207.42,"Frozen domestic ducks, not cut in pieces"
0207.43,"Fatty livers of domestic ducks, fresh or chilled"
0207.44,Fresh or chilled cuts and edible offal of domestic ducks (excluding fatty livers)
0207.45,Frozen cuts and edible offal of domestic ducks
0207.51,"Fresh or chilled domestic geese, not cut in pieces"
0207.52,"Frozen domestic geese, not cut in pieces"
0207.53,"Fatty livers of domestic geese, fresh or chilled"
0207.54,Fresh or chilled cuts and edible offal of domestic geese (excluding fatty livers)
0207.55,Frozen cuts and edible offal of domestic geese
0207.60,"Meat and edible offal of domestic guinea fowls, fresh, chilled or frozen"
0208.10,"Fresh, chilled or frozen meat and edible offal of rabbits or hares"
0208.30,"Fresh, chilled or frozen meat and edible offal of primates"
0208.40,"Fresh, chilled or frozen meat and edible offal of whales, dolphins and porpoises (mammals of the order Cetacea), of manatees and dugongs (mammals of the order Sirenia) and of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0208.50,"Fresh, chilled or frozen meat and edible offal of reptiles ""e.g. snakes, turtles, crocodiles"""
0208.60,"Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]"
0208.90,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals (excluding bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry ""fowls of the species Gallus domesticus, ducks, geese, turkeys, guinea fowl"", rabbits, hares, primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"" and reptiles)"
0209.10,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
0209.90,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
0210.11,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"
